Term,Description,Classes,References
 L0 regularization,"A type of regularization that
penalizes the total number of nonzero weights
in a model. For example, a model having 11 nonzero weights
would be penalized more than a similar model having 10 nonzero weights. L0 regularization is sometimes called L0-norm regularization.",ML Fundamentals,"regularization, weights"
 L1 loss,"A loss function that calculates the absolute value
of the difference between actual label values and
the values that a model predicts. For example, here's the
calculation of L1 loss for a batch of five
examples: L1 loss is less sensitive to outliers
than L2 loss. The Mean Absolute Error is the average
L1 loss per example.",ML Fundamentals,"loss function, label, model, batch, examples, outliers, L2 loss, Mean Absolute Error"
 L1 regularization,"A type of regularization that penalizes
weights in proportion to the sum of the absolute value of
the weights. L1 regularization helps drive the weights of irrelevant
or barely relevant features to exactly 0. A feature with
a weight of 0 is effectively removed from the model. Contrast with L2 regularization.",ML Fundamentals,"regularization, weights, feature, L2 regularization"
 L2 loss,"A loss function that calculates the square
of the difference between actual label values and
the values that a model predicts. For example, here's the
calculation of L2 loss for a batch of five
examples: Due to squaring, L2 loss amplifies the influence of
outliers.
That is, L2 loss reacts more strongly to bad predictions than
L1 loss. For example, the L1 loss
for the preceding batch would be 8 rather than 16. Notice that a single
outlier accounts for 9 of the 16. Regression models typically use L2 loss
as the loss function. The Mean Squared Error is the average
L2 loss per example.
Squared loss is another name for L2 loss.",ML Fundamentals,"loss function, label, model, batch, examples, outliers, L1 loss, Regression models, Mean Squared Error"
 L2 regularization,"A type of regularization that penalizes
weights in proportion to the sum of the squares of the weights.
L2 regularization helps drive outlier weights (those
with high positive or low negative values) closer to 0 but not quite to 0.
Features with values very close to 0 remain in the model
but don't influence the model's prediction very much. L2 regularization always improves generalization in
linear models. Contrast with L1 regularization.",ML Fundamentals,"regularization, weights, outlier, linear models, L1 regularization"
 label,"In supervised machine learning, the
""answer"" or ""result"" portion of an example. Each labeled example consists of one or more
features and a label. For example, in a spam
detection dataset, the label would probably be either ""spam"" or
""not spam."" In a rainfall dataset, the label might be the amount of
rain that fell during a certain period.",ML Fundamentals,"supervised machine learning, example, labeled example, features"
 labeled example,"An example that contains one or more features and a
label. For example, the following table shows three
labeled examples from a house valuation model, each with three features
and one label: In supervised machine learning,
models train on labeled examples and make predictions on
unlabeled examples. Contrast labeled example with unlabeled examples.",ML Fundamentals,"features, label, supervised machine learning, unlabeled examples"
 label leakage,"A model design flaw in which a feature is a proxy for the
label. For example, consider a
binary classification model that predicts
whether or not a prospective customer will purchase a particular product.
Suppose that one of the features for the model is a Boolean named
SpokeToCustomerAgent. Further suppose that a customer agent is only
assigned after the prospective customer has actually purchased the
product. During training, the model will quickly learn the association
between SpokeToCustomerAgent and the label.",None,"feature, label, binary classification"
 lambda,"Synonym for regularization rate. Lambda is an overloaded term. Here we're focusing on the term's
definition within regularization.",ML Fundamentals,"regularization rate, regularization"
 LaMDA (Language Model for Dialogue Applications),"A Transformer-based
large language model developed by Google trained on
a large dialogue dataset that can generate realistic conversational responses. LaMDA: our breakthrough conversation
technology provides an overview.",Language Evaluation,"Transformer, large language model, LaMDA: our breakthrough conversation
technology"
 landmarks,Synonym for keypoints.,Image Models,keypoints
 language model,"A model that estimates the probability of a token
or sequence of tokens occurring in a longer sequence of tokens.",Language Evaluation,"model, token"
 large language model,"At a minimum, a language model having a very high number
of parameters. More informally, any
Transformer-based language model, such as
Gemini or GPT.",Language Evaluation,"language model, parameters, Transformer, Gemini, GPT"
 latent space,Synonym for embedding space.,Language Evaluation,embedding space
 layer,"A set of neurons in a
neural network. Three common types of layers
are as follows: The input layer, which provides values for all the
features. One or more hidden layers, which find
nonlinear relationships between the features and the label. The output layer, which provides the prediction. For example, the following illustration shows a neural network with
one input layer, two hidden layers, and one output layer: In TensorFlow, layers are also Python functions that take
Tensors and configuration options as input and
produce other tensors as output.",ML Fundamentals,"neurons, neural network, input layer, features, hidden layers, output layer, TensorFlow, Tensors"
 Layers API (tf.layers),"A TensorFlow API for constructing a deep neural network
as a composition of layers. The Layers API lets you build different
types of layers, such as: tf.layers.Dense for a fully-connected layer. tf.layers.Conv2D for a convolutional layer. The Layers API follows the Keras layers API conventions.
That is, aside from a different prefix, all functions in the Layers API
have the same names and signatures as their counterparts in the Keras
layers API.",TensorFlow,"deep, layers, fully-connected layer, Keras"
 leaf ,"Any endpoint in a decision tree. Unlike a
condition, a leaf doesn't perform a test.
Rather, a leaf is a possible prediction. A leaf is also the terminal
node of an inference path. For example, the following decision tree contains three leaves:",Decision Forests,"decision tree, condition, node, inference path"
 Learning Interpretability Tool (LIT),"A visual, interactive model-understanding and data visualization tool. You can use open-source LIT to
interpret models or to visualize text, image, and
tabular data.",None,"LIT, interpret"
 learning rate,"A floating-point number that tells the gradient descent
algorithm how strongly to adjust weights and biases on each
iteration. For example, a learning rate of 0.3 would
adjust weights and biases three times more powerfully than a learning rate
of 0.1. Learning rate is a key hyperparameter. If you set
the learning rate too low, training will take too long. If
you set the learning rate too high, gradient descent often has trouble
reaching convergence.",ML Fundamentals,"gradient descent, iteration, hyperparameter, convergence"
 least squares regression,"A linear regression model trained by minimizing
L2 Loss.",None,L2 Loss
 linear ,"A relationship between two or more variables that can be represented solely
through addition and multiplication. The plot of a linear relationship is a line. Contrast with nonlinear.",ML Fundamentals,nonlinear
 linear model,"A model that assigns one weight per
feature to make predictions.
(Linear models also incorporate a bias.) In contrast,
the relationship of features to predictions in deep models
is generally nonlinear. Linear models are usually easier to train and more
interpretable than deep models. However,
deep models can learn complex relationships between features. Linear regression and
logistic regression are two types of linear models.",ML Fundamentals,"model, weight, feature, predictions, bias, deep models, interpretable, Linear regression, logistic regression"
 linear regression,"A type of machine learning model in which both of the following are true: The model is a linear model. The prediction is a floating-point value. (This is the
regression part of linear regression.) Contrast linear regression with logistic regression.
Also, contrast regression with classification.",ML Fundamentals,"linear model, regression, logistic regression, classification"
 LIT,"Abbreviation for the
Learning Interpretability Tool (LIT),
which was previously known as the Language Interpretability Tool.",None,Learning Interpretability Tool (LIT)
 LLM,Abbreviation for large language model.,Language Evaluation,large language model
 LLM evaluations (evals),"A set of metrics and benchmarks for assessing the performance of
large language models (LLMs). At a high level,
LLM evaluations: Help researchers identify areas where LLMs need improvement. Are useful in comparing different LLMs and identifying the best LLM for a
particular task. Help ensure that LLMs are safe and ethical to use.",Language Evaluation,large language models
 logistic regression,"A type of regression model that predicts a probability.
Logistic regression models have the following characteristics: The label is categorical. The term logistic
regression usually refers to binary logistic regression, that is,
to a model that calculates probabilities for labels with two possible values.
A less common variant, multinomial logistic regression, calculates
probabilities for labels with more than two possible values. The loss function during training is Log Loss.
(Multiple Log Loss units can be placed in parallel for labels
with more than two possible values.) The model has a linear architecture, not a deep neural network.
However, the remainder of this definition also applies to
deep models that predict probabilities
for categorical labels. For example, consider a logistic regression model that calculates the
probability of an input email being either spam or not spam.
During inference, suppose the model predicts 0.72. Therefore, the
model is estimating: A 72% chance of the email being spam. A 28% chance of the email not being spam. A logistic regression model uses the following two-step architecture: Like any regression model, a logistic regression model predicts a number.
However, this number typically becomes part of a binary classification
model as follows: If the predicted number is greater than the
classification threshold, the
binary classification model predicts the positive class. If the predicted number is less than the classification threshold,
the binary classification model predicts the negative class.",ML Fundamentals,"regression model, categorical, Log Loss, deep models, classification threshold"
 logits,"The vector of raw (non-normalized) predictions that a classification
model generates, which is ordinarily then passed to a normalization function.
If the model is solving a multi-class classification
problem, logits typically become an input to the
softmax function.
The softmax function then generates a vector of (normalized)
probabilities with one value for each possible class.",None,"multi-class classification, softmax"
 Log Loss,"The loss function used in binary
logistic regression.",ML Fundamentals,"loss function, logistic regression"
 log-odds,The logarithm of the odds of some event.,ML Fundamentals,None
 Long Short-Term Memory (LSTM),"A type of cell in a
recurrent neural network used to process
sequences of data in applications such as handwriting recognition, machine
translation, and image captioning. LSTMs address the
vanishing gradient problem that occurs when
training RNNs due to long data sequences by maintaining history in an
internal memory state based on new input and context from previous cells
in the RNN.",Sequence Models,"recurrent neural network, vanishing gradient problem"
 LoRA,Abbreviation for Low-Rank Adaptability.,Language Evaluation,Low-Rank Adaptability
 loss,"During the training of a
supervised model, a measure of how far a
model's prediction is from its label. A loss function calculates the loss.",ML Fundamentals,"training, supervised model, prediction, label, loss function"
 loss aggregator,"A type of machine learning algorithm that
improves the performance of a model
by combining the predictions of multiple models and
using those predictions to make a single prediction. As a result,
a loss aggregator can reduce the variance of the predictions and
improve the accuracy of the predictions.",None,"machine learning, performance, model, predictions, accuracy"
 loss curve,"A plot of loss as a function of the number of training
iterations. The following plot shows a typical loss
curve: Loss curves can help you determine when your model is
converging or overfitting. Loss curves can plot all of the following types of loss: training loss validation loss test loss See also generalization curve.",ML Fundamentals,"loss, iterations, converging, overfitting, training loss, validation loss, test loss, generalization curve"
 loss function,"During training or testing, a
mathematical function that calculates the
loss on a batch of examples. A loss function returns a lower loss
for models that makes good predictions than for models that make
bad predictions. The goal of training is typically to minimize the loss that a loss function
returns. Many different kinds of loss functions exist. Pick the appropriate loss
function for the kind of model you are building. For example: L2 loss (or Mean Squared Error)
is the loss function for linear regression. Log Loss is the loss function for
logistic regression.",ML Fundamentals,"training, batch, L2 loss, Mean Squared Error, linear regression, Log Loss, logistic regression"
 loss surface,"A graph of weight(s) versus loss. Gradient descent aims
to find the weight(s) for which the loss surface is at a local minimum.",None,Gradient descent
 Low-Rank Adaptability (LoRA),"A parameter-efficient technique for
fine tuning that ""freezes"" the model's pre-trained
weights (such that they can no longer be modified) and then inserts a small set
of trainable weights into the model. This set of trainable weights (also known
as ""update matrices"") is considerably smaller than the base model and is
therefore much faster to train. LoRA provides the following benefits: Improves the quality of a model's predictions for the domain where the fine
tuning is applied. Fine-tunes faster than techniques that require fine-tuning all of a model's
parameters. Reduces the computational cost of inference by enabling
concurrent serving of multiple specialized models sharing the same base
model.",Language Evaluation,"parameter-efficient, fine tuning, inference"
 LSTM,Abbreviation for Long Short-Term Memory.,Sequence Models,Long Short-Term Memory
 machine learning,"A program or system that trains a
model from input data. The trained model can
make useful predictions from new (never-before-seen) data drawn from
the same distribution as the one used to train the model. Machine learning also refers to the field of study concerned
with these programs or systems.",ML Fundamentals,"trains, model"
 majority class,"The more common label in a
class-imbalanced dataset. For example,
given a dataset containing 99% negative labels and 1% positive labels, the
negative labels are the majority class. Contrast with minority class.",ML Fundamentals,"class-imbalanced dataset, minority class"
 Markov decision process (MDP),"A graph representing the decision-making model where decisions
(or actions) are taken to navigate a sequence of
states under the assumption that the
Markov property holds. In
reinforcement learning, these transitions
between states return a numerical reward.",Reinforcement Learning,"actions, states, Markov property, reinforcement learning, reward"
 Markov property,"A property of certain environments, where state
transitions are entirely determined by information implicit in the
current state and the agent's action.",Reinforcement Learning,"environments, state, action"
 masked language model,"A language model that predicts the probability of
candidate tokens to fill in blanks in a sequence. For example, a
masked language model can calculate probabilities for candidate word(s)
to replace the underline in the following sentence: The literature typically uses the string ""MASK"" instead of an underline.
For example: Most modern masked language models are bidirectional.",Language Evaluation,"language model, bidirectional"
 matplotlib,"An open-source Python 2D plotting library.
matplotlib helps you visualize
different aspects of machine learning.",None,matplotlib
 matrix factorization,"In math, a mechanism for finding the matrixes whose dot product approximates a
target matrix. In recommendation systems, the target matrix
often holds users' ratings on items. For example, the target
matrix for a movie recommendation system might look something like the
following, where the positive integers are user ratings and 0
means that the user didn't rate the movie: The movie recommendation system aims to predict user ratings for
unrated movies. For example, will User 1 like Black Panther? One approach for recommendation systems is to use matrix
factorization to generate the following two matrixes: A user matrix, shaped as the number of users X the
number of embedding dimensions. An item matrix, shaped as the number of embedding
dimensions X the number of items. For example, using matrix factorization on our three users and five items
could yield the following user matrix and item matrix: The dot product of the user matrix and item matrix yields a recommendation
matrix that contains not only the original user ratings but also predictions
for the movies that each user hasn't seen.
For example, consider User 1's rating of Casablanca, which was 5.0. The dot
product corresponding to that cell in the recommendation matrix should
hopefully be around 5.0, and it is: More importantly, will User 1 like Black Panther? Taking the dot product
corresponding to the first row and the third column yields a predicted
rating of 4.3: Matrix factorization typically yields a user matrix and item matrix that,
together, are significantly more compact than the target matrix.",Recommendation Systems,"recommendation systems, items, user matrix, item matrix"
 Mean Absolute Error (MAE),"The average loss per example when L1 loss is
used. Calculate Mean Absolute Error as follows: For example, consider the calculation of L1 loss on the
following batch of five examples: So, L1 loss is 8 and the number of examples is 5.
Therefore, the Mean Absolute Error is: Contrast Mean Absolute Error with Mean Squared Error and
Root Mean Squared Error.",None,"L1 loss, Mean Squared Error, Root Mean Squared Error"
 Mean Squared Error (MSE),"The average loss per example when L2 loss is
used. Calculate Mean Squared Error as follows: For example, consider the loss on the following batch of five examples: Therefore, the Mean Squared Error is: Mean Squared Error is a popular training optimizer,
particularly for linear regression. Contrast Mean Squared Error with
Mean Absolute Error and
Root Mean Squared Error. TensorFlow Playground uses Mean Squared Error
to calculate loss values.",None,"L2 loss, optimizer, linear regression, Mean Absolute Error, Root Mean Squared Error, TensorFlow Playground"
 mesh,"In ML parallel programming, a term associated with assigning the data and
model to TPU chips, and defining how these values will be sharded or replicated. Mesh is an overloaded term that can mean either of the following: A physical layout of TPU chips. An abstract logical construct for mapping the data and model to the TPU
chips. In either case, a mesh is specified as a shape.",TensorFlow,shape
 meta-learning,"A subset of machine learning that discovers or improves a learning algorithm.
A meta-learning system can also aim to train a model to quickly learn a new
task from a small amount of data or from experience gained in previous tasks.
Meta-learning algorithms generally try to achieve the following: Improve or learn hand-engineered features (such as an initializer or
an optimizer). Be more data-efficient and compute-efficient. Improve generalization. Meta-learning is related to few-shot learning.",Language Evaluation,few-shot learning
 metric,"A statistic that you care about. An objective is a metric that a machine learning system
tries to optimize.",TensorFlow,objective
 Metrics API (tf.metrics),"A TensorFlow API for evaluating models. For example, tf.metrics.accuracy
determines how often a model's predictions match labels.",None,None
 mini-batch,"A small, randomly selected subset of a batch processed in one
iteration.
The batch size of a mini-batch is usually
between 10 and 1,000 examples. For example, suppose the entire training set (the full batch)
consists of 1,000 examples. Further suppose that you set the
batch size of each mini-batch to 20. Therefore, each
iteration determines the loss on a random 20 of the 1,000 examples and then
adjusts the weights and biases accordingly. It is much more efficient to calculate the loss on a mini-batch than the
loss on all the examples in the full batch.",ML Fundamentals,"batch, iteration, batch size, batch size, weights, biases"
 mini-batch stochastic gradient descent,"A gradient descent algorithm that uses
mini-batches. In other words, mini-batch stochastic
gradient descent estimates the gradient based on a small subset of the
training data. Regular stochastic gradient descent uses a
mini-batch of size 1.",None,"gradient descent, mini-batches, stochastic gradient descent"
 minimax loss,"A loss function for
generative adversarial networks,
based on the cross-entropy between the distribution
of generated data and real data. Minimax loss is used in the
first paper to describe
generative adversarial networks.",None,"generative adversarial networks, cross-entropy, first paper"
 minority class,"The less common label in a
class-imbalanced dataset. For example,
given a dataset containing 99% negative labels and 1% positive labels, the
positive labels are the minority class. Contrast with majority class.",ML Fundamentals,"class-imbalanced dataset, majority class"
 mixture of experts,"A scheme to increase neural network efficiency by
using only a subset of its parameters (known as an expert) to process
a given input token or example. A
gating network routes each input token or example to the proper expert(s). For details, see either of the following papers: Outrageously Large Neural Networks: The
Sparsely-Gated Mixture-of-Experts Layer Mixture-of-Experts with Expert Choice
Routing",Language Evaluation,"neural network, token, example, Outrageously Large Neural Networks: The
Sparsely-Gated Mixture-of-Experts Layer, Mixture-of-Experts with Expert Choice
Routing"
 ML,Abbreviation for machine learning.,None,machine learning
 MMIT,"Abbreviation for
multimodal instruction-tuned.",Language Evaluation,multimodal instruction-tuned
 MNIST,"A public-domain dataset compiled by LeCun, Cortes, and Burges containing
60,000 images, each image showing how a human manually wrote a particular
digit from 0–9. Each image is stored as a 28x28 array of integers, where
each integer is a grayscale value between 0 and 255, inclusive. MNIST is a canonical dataset for machine learning, often used to test new
machine learning approaches. For details, see

The MNIST Database of Handwritten Digits.",Image Models,The MNIST Database of Handwritten Digits
 modality,"A high-level data category. For example, numbers, text, images, video, and
audio are five different modalities.",Language Evaluation,None
 model,"In general, any mathematical construct that processes input data and returns
output. Phrased differently, a model is the set of parameters and structure
needed for a system to make predictions.
In supervised machine learning,
a model takes an example as input and infers a
prediction as output. Within supervised machine learning,
models differ somewhat. For example: A linear regression model consists of a set of weights
and a bias. A neural network model consists of:

A set of hidden layers, each containing one or
more neurons.
The weights and bias associated with each neuron. A set of hidden layers, each containing one or
more neurons. The weights and bias associated with each neuron. A decision tree model consists of:

The shape of the tree; that is, the pattern in which the conditions
and leaves are connected.
The conditions and leaves. The shape of the tree; that is, the pattern in which the conditions
and leaves are connected. The conditions and leaves. You can save, restore, or make copies of a model. Unsupervised machine learning also
generates models, typically a function that can map an input example to
the most appropriate cluster.",ML Fundamentals,"supervised machine learning, example, prediction, weights, bias, neural network, hidden layers, neurons, hidden layers, neurons, decision tree, Unsupervised machine learning, cluster"
 model capacity,"The complexity of problems that a model can learn. The more complex the
problems that a model can learn, the higher the model's capacity. A model's
capacity typically increases with the number of model parameters. For a
formal definition of classifier capacity, see
VC dimension.",None,VC dimension
 model cascading,"A system that picks the ideal model for a specific inference
query. Imagine a group of models, ranging from very large (lots of
parameters) to much smaller (far fewer parameters).
Very large models consume more computational resources at
inference time than smaller models. However, very large
models can typically infer more complex requests than smaller models.
Model cascading determines the complexity of the inference query and then
picks the appropriate model to perform the inference.
The main motivation for model cascading is to reduce inference costs by
generally selecting smaller models, and only selecting a larger model for more
complex queries. Imagine that a small model runs on a phone and a larger version of that model
runs on a remote server. Good model cascading reduces cost and latency by
enabling the smaller model to handle simple requests and only calling the
remote model to handle complex requests. See also model router.",Generative AI,"model, parameters, inference, model router"
 model parallelism,"A way of scaling training or inference that puts different parts of one
model on different devices. Model parallelism
enables models that are too big to fit on a single device. To implement model parallelism, a system typically does the following: Model parallelism slows training. See also data parallelism.",Language Evaluation,"model, devices, data parallelism"
 model router,"The algorithm that determines the ideal model for
inference in model cascading.
A model router is itself typically a machine learning model that
gradually learns how to pick the best model for a given input.
However, a model router could sometimes be a simpler,
non-machine learning algorithm.",Generative AI,"model, inference, model cascading"
 model training,The process of determining the best model.,None,model
 Momentum,"A sophisticated gradient descent algorithm in which a learning step depends
not only on the derivative in the current step, but also on the derivatives
of the step(s) that immediately preceded it. Momentum involves computing an
exponentially weighted moving average of the gradients over time, analogous
to momentum in physics. Momentum sometimes prevents learning from getting
stuck in local minima.",None,None
 MOE,Abbreviation for mixture of experts.,Language Evaluation,mixture of experts
 multi-class classification,"In supervised learning, a classification problem
in which the dataset contains more than two classes of labels.
For example, the labels in the Iris dataset must be one of the following
three classes: Iris setosa Iris virginica Iris versicolor A model trained on the Iris dataset that predicts Iris type on new examples
is performing multi-class classification. In contrast, classification problems that distinguish between exactly two
classes are binary classification models.
For example, an email model that predicts either spam or not spam
is a binary classification model. In clustering problems, multi-class classification refers to more than
two clusters.",ML Fundamentals,"classification, classes, binary classification models"
 multi-class logistic regression,"Using logistic regression in
multi-class classification problems.",None,"logistic regression, multi-class classification"
 multi-head self-attention,"An extension of self-attention that applies the
self-attention mechanism multiple times for each position in the input sequence. Transformers introduced multi-head self-attention.",Language Evaluation,"self-attention, Transformers"
 multimodal model,"A model whose inputs and/or outputs include more than one
modality. For example, consider a model that takes both an
image and a text caption (two modalities) as features, and
outputs a score indicating how appropriate the text caption is for the image.
So, this model's inputs are multimodal and the output is unimodal.",Language Evaluation,"modality, features"
 multimodal instruction-tuned,"An instruction-tuned model that can process input
beyond text, such as images, video, and audio.",Language Evaluation,instruction-tuned
 multinomial classification,Synonym for multi-class classification.,None,multi-class classification
 multinomial regression,"Synonym for
multi-class logistic regression.",None,multi-class logistic regression
 multitask,"A machine learning technique in which a single model is
trained to perform multiple tasks. Multitask models are created by training on data that is appropriate for
each of the different tasks. This allows the model to learn to share
information across the tasks, which helps the model learn more effectively. A model trained for multiple tasks often has improved generalization abilities
and can be more robust at handling different types of data.",None,"model, tasks"
 NaN trap,"When one number in your model becomes a NaN
during training, which causes many or all other numbers in your model to
eventually become a NaN. NaN is an abbreviation for Not a Number.",None,NaN
 natural language understanding,"Determining a user's intentions based on what the user typed or said.
For example, a search engine uses natural language understanding to
determine what the user is searching for based on what the user typed or said.",Language Evaluation,None
 negative class,"In binary classification, one class is
termed positive and the other is termed negative. The positive class is
the thing or event that the model is testing for and the negative class is the
other possibility. For example: The negative class in a medical test might be ""not tumor."" The negative class in an email classifier might be ""not spam."" Contrast with positive class.",ML Fundamentals,"binary classification, positive class"
 negative sampling,Synonym for candidate sampling.,None,candidate sampling
 Neural Architecture Search (NAS),"A technique for automatically designing the architecture of a
neural network. NAS algorithms can reduce the amount
of time and resources required to train a neural network. NAS typically uses: A search space, which is a set of possible architectures. A fitness function, which is a measure of how well a particular
architecture performs on a given task. NAS algorithms often start with a small set of possible architectures and
gradually expand the search space as the algorithm learns more about what
architectures are effective. The fitness function is typically based on the
performance of the architecture on a training set, and the algorithm is
typically trained using a
reinforcement learning technique. NAS algorithms have proven effective in finding high-performing
architectures for a variety of tasks, including image
classification, text classification,
and machine translation.",None,"neural network, reinforcement learning, classification"
 neural network,"A model containing at least one
hidden layer.
A deep neural network is a type of neural network
containing more than one hidden layer. For example, the following diagram
shows a deep neural network containing two hidden layers. Each neuron in a neural network connects to all of the nodes in the next layer.
For example, in the preceding diagram, notice that each of the three neurons
in the first hidden layer separately connect to both of the two neurons in the
second hidden layer. Neural networks implemented on computers are sometimes called
artificial neural networks to differentiate them from
neural networks found in brains and other nervous systems. Some neural networks can mimic extremely complex nonlinear relationships
between different features and the label. See also convolutional neural network and
recurrent neural network.",ML Fundamentals,"model, hidden layer, deep neural network, convolutional neural network, recurrent neural network"
 neuron,"In machine learning, a distinct unit within a hidden layer
of a neural network. Each neuron performs the following
two-step action: A neuron in the first hidden layer accepts inputs from the feature values
in the input layer. A neuron in any hidden layer beyond
the first accepts inputs from the neurons in the preceding hidden layer.
For example, a neuron in the second hidden layer accepts inputs from the
neurons in the first hidden layer. The following illustration highlights two neurons and their
inputs. A neuron in a neural network mimics the behavior of neurons in brains and
other parts of nervous systems.",ML Fundamentals,"hidden layer, neural network, input layer"
 N-gram,"An ordered sequence of N words. For example, truly madly is a 2-gram. Because
order is relevant, madly truly is a different 2-gram than truly madly. Many natural language understanding
models rely on N-grams to predict the next word that the user will type
or say. For example, suppose a user typed three blind.
An NLU model based on trigrams would likely predict that the
user will next type mice. Contrast N-grams with bag of words, which are
unordered sets of words.",Sequence Models,"natural language understanding, bag of words"
 NLU,"Abbreviation for natural language
understanding.",Language Evaluation,"natural language
understanding"
 node (decision tree) ,"In a decision tree, any
condition or leaf.",Decision Forests,"decision tree, condition, leaf"
 node (neural network),A neuron in a hidden layer.,ML Fundamentals,"neuron, hidden layer"
 node (TensorFlow graph),An operation in a TensorFlow graph.,TensorFlow,graph
 noise,"Broadly speaking, anything that obscures the signal in a dataset. Noise
can be introduced into data in a variety of ways. For example: Human raters make mistakes in labeling. Humans and instruments mis-record or omit feature values.",None,None
 non-binary condition ,"A condition containing more than two possible outcomes.
For example, the following non-binary condition contains three possible
outcomes:",Decision Forests,condition
 nonlinear ,"A relationship between two or more variables that can't be represented solely
through addition and multiplication. A linear relationship
can be represented as a line; a nonlinear relationship can't be
represented as a line. For example, consider two models that each relate
a single feature to a single label. The model on the left is linear
and the model on the right is nonlinear:",ML Fundamentals,None
 non-response bias ,See selection bias.,Fairness,selection bias
 nonstationarity,"A feature whose values change across one or more dimensions, usually time.
For example, consider the following examples of nonstationarity: The number of swimsuits sold at a particular store varies with the season. The quantity of a particular fruit harvested in a particular region
is zero for much of the year but large for a brief period. Due to climate change, annual mean temperatures are shifting. Contrast with stationarity.",ML Fundamentals,stationarity
 normalization,"Broadly speaking, the process of converting a variable's actual range
of values into a standard range of values, such as: -1 to +1 0 to 1 Z-scores (roughly, -3 to +3) For example, suppose the actual range of values of a certain feature is
800 to 2,400. As part of feature engineering,
you could normalize the actual values down to a standard range, such
as -1 to +1. Normalization is a common task in
feature engineering. Models usually train faster
(and produce better predictions) when every numerical feature in the
feature vector has roughly the same range. See the Working with Numerical Data
module
of Machine Learning Crash Course for more details.
Also see Z-score normalization.",ML Fundamentals,"feature engineering, feature engineering, feature vector, Working with Numerical Data
module, Z-score normalization"
 novelty detection,"The process of determining whether a new (novel) example comes from the same
distribution as the training set. In other words, after
training on the training set, novelty detection determines whether a new
example (during inference or during additional training) is an
outlier. Contrast with outlier detection.",None,"training set, outlier, outlier detection"
 numerical data,"Features represented as integers or real-valued numbers.
For example, a house valuation model would probably represent the size
of a house (in square feet or square meters) as numerical data. Representing
a feature as numerical data indicates that the feature's values have
a mathematical relationship to the label.
That is, the number of square meters in a house probably has some
mathematical relationship to the value of the house. Not all integer data should be represented as numerical data. For example,
postal codes in some parts of the world are integers; however, integer postal
codes shouldn't be represented as numerical data in models. That's because a
postal code of 20000 is not twice (or half) as potent as a postal code of
10000. Furthermore, although different postal codes do correlate to different
real estate values, we can't assume that real estate values at postal code
20000 are twice as valuable as real estate values at postal code 10000.
Postal codes should be represented as categorical data
instead. Numerical features are sometimes called
continuous features.",ML Fundamentals,"Features, categorical data, continuous features"
 NumPy,"An 
open-source math library
that provides efficient array operations in Python.
pandas is built on NumPy.",None,"open-source math library, pandas"
 objective,A metric that your algorithm is trying to optimize.,None,None
 objective function,"The mathematical formula or metric that a model aims to optimize.
For example, the objective function for
linear regression is usually
Mean Squared Loss. Therefore, when training a
linear regression model, training aims to minimize Mean Squared Loss. In some cases, the goal is to maximize the objective function.
For example, if the objective function is accuracy, the goal is
to maximize accuracy. See also loss.",None,"metric, linear regression, Mean Squared Loss, loss"
 oblique condition ,"In a decision tree, a
condition that involves more than one
feature. For example, if height and width are both features,
then the following is an oblique condition: Contrast with axis-aligned condition.",Decision Forests,"decision tree, condition, feature, axis-aligned condition"
 offline,Synonym for static.,ML Fundamentals,static
 offline inference,"The process of a model generating a batch of predictions
and then caching (saving) those predictions. Apps can then access the inferred
prediction from the cache rather than rerunning the model. For example, consider a model that generates local weather forecasts
(predictions) once every four hours. After each model run, the system
caches all the local weather forecasts. Weather apps retrieve the forecasts
from the cache. Offline inference is also called static inference. Contrast with online inference.",ML Fundamentals,"predictions, online inference"
 one-hot encoding,"Representing categorical data as a vector in which: One element is set to 1. All other elements are set to 0. One-hot encoding is commonly used to represent strings or identifiers that
have a finite set of possible values.
For example, suppose a certain categorical feature named
Scandinavia has five possible values: ""Denmark"" ""Sweden"" ""Norway"" ""Finland"" ""Iceland"" One-hot encoding could represent each of the five values as follows: Thanks to one-hot encoding, a model can learn different connections
based on each of the five countries. Representing a feature as numerical data is an
alternative to one-hot encoding. Unfortunately, representing the
Scandinavian countries numerically is not a good choice. For example,
consider the following numeric representation: ""Denmark"" is 0 ""Sweden"" is 1 ""Norway"" is 2 ""Finland"" is 3 ""Iceland"" is 4 With numeric encoding, a model would interpret the raw numbers
mathematically and would try to train on those numbers.
However, Iceland isn't actually twice as much (or half as much) of
something as Norway, so the model would come to some strange conclusions.",ML Fundamentals,numerical data
 one-shot learning,"A machine learning approach, often used for object classification,
designed to learn effective classifiers from a single training example. See also few-shot learning and
zero-shot learning.",None,"few-shot learning, zero-shot learning"
 one-shot prompting,"A prompt that contains one example demonstrating how the
large language model should respond. For example,
the following prompt contains one example showing a large language model how
it should answer a query. Compare and contrast one-shot prompting with the following terms: zero-shot prompting few-shot prompting",Language Evaluation,"prompt, large language model, zero-shot prompting, few-shot prompting"
 one-vs.-all,"Given a classification problem with N classes, a
solution consisting of N separate
binary classifiers—one binary classifier for
each possible outcome. For example, given a model that classifies examples
as animal, vegetable, or mineral, a one-vs.-all solution would provide the
following three separate binary classifiers: animal versus not animal vegetable versus not vegetable mineral versus not mineral",ML Fundamentals,binary classifiers
 online,Synonym for dynamic.,ML Fundamentals,dynamic
